PORTLAND,OR                     ,12,8,4,1,*,0,0,0,0,*,5,9,39
SALEM,OR                        ,13,10,7,3,*,*,0,*,*,2,7,11,54
SEXTON SUMMIT,OR                ,17,15,18,15,6,*,0,0,*,3,10,17,102
ALLENTOWN,PA                    ,28,25,20,6,*,0,0,0,*,4,14,25,122
ERIE,PA                         ,27,25,23,9,1,*,0,0,0,1,10,23,120
MIDDLETOWN/HARRISBURG,PA        ,26,24,17,3,*,0,0,0,0,1,11,23,105
PHILADELPHIA,PA                 ,24,21,13,2,*,0,0,0,0,1,7,20,89
PITTSBURGH,PA                   ,26,24,20,7,1,0,0,0,*,3,14,24,119
AVOCA,PA                        ,28,25,21,8,1,0,0,0,*,4,14,25,126
WILLIAMSPORT,PA                 ,28,25,21,7,1,0,0,0,*,4,15,25,126
PROVIDENCE,RI                   ,27,24,20,5,*,0,0,0,*,3,12,24,115
CHARLESTON,SC                   ,4,3,*,0,0,0,0,0,0,0,*,3,10
COLUMBIA,SC                     ,15,11,5,1,0,0,0,0,0,1,7,14,55
GREENVILLE-SPARTANBURG,SC       ,18,14,7,1,*,0,0,0,0,1,6,15,61
ABERDEEN,SD                     ,30,28,28,15,3,*,0,*,3,14,27,30,178
HURON,SD                        ,31,28,27,13,2,*,0,0,1,11,26,31,171
RAPID CITY,SD                   ,30,27,27,16,3,*,0,0,2,11,25,30,170
SIOUX FALLS,SD                  ,31,28,26,13,2,0,0,0,1,10,25,30,164
BRISTOL-JHNSN CTY-KNGSPRT,TN    ,22,19,13,4,*,0,0,0,0,3,14,21,96
CHATTANOOGA,TN                  ,19,14,8,1,0,0,0,0,0,1,9,17,69
KNOXVILLE,TN                    ,18,14,8,1,*,0,0,0,0,1,9,17,68
MEMPHIS,TN                      ,17,12,5,*,0,0,0,0,0,*,5,14,53
NASHVILLE,TN                    ,20,16,9,1,0,0,0,0,0,1,9,17,74
OAK RIDGE,TN                    ,21,17,11,2,*,0,0,0,0,2,11,19,84
ABILENE,TX                      ,17,10,5,*,0,0,0,0,0,*,5,14,51
AMARILLO,TX                     ,27,22,15,4,*,0,0,0,*,2,15,26,111
AUSTIN,TX                       ,7,4,1,*,0,0,0,0,0,*,1,5,18
BROWNSVILLE,TX                  ,1,1,*,0,0,0,0,0,0,0,*,1,3
CORPUS CHRISTI,TX               ,2,1,*,0,0,0,0,0,0,*,*,1,6
DALLAS,TX                       ,12,7,2,*,0,0,0,0,0,*,2,8,31
DEL RIO,TX                      ,6,3,1,0,0,0,0,0,0,*,1,5,15
EL PASO,TX                      ,17,10,4,*,*,0,0,0,0,*,7,17,55
GALVESTON,TX                    ,2,1,*,0,0,0,0,0,0,0,*,*,3
HOUSTON,TX                      ,6,3,1,*,0,0,0,0,0,*,1,4,16
LUBBOCK,TX                      ,25,18,10,2,*,0,0,0,0,1,11,23,91
MIDLAND-ODESSA,TX               ,19,12,6,1,*,0,0,0,0,*,7,17,62
PORT ARTHUR,TX                  ,5,3,1,*,0,0,0,0,0,*,1,3,13
SAN ANGELO,TX                   ,16,10,4,1,0,0,0,0,0,*,5,14,51
SAN ANTONIO,TX                  ,7,4,1,*,0,0,0,0,0,*,2,6,20
VICTORIA,TX                     ,4,2,1,0,0,0,0,0,0,*,1,3,10
WACO,TX                         ,12,6,2,*,0,0,0,0,0,*,3,9,33
WICHITA FALLS,TX                ,19,12,6,1,0,0,0,0,0,*,6,16,60
SALT LAKE CITY,UT               ,27,22,16,6,1,0,0,0,*,4,19,27,123
BURLINGTON,VT                   ,30,27,26,14,2,0,0,0,1,8,18,28,154
LYNCHBURG,VA                    ,23,20,12,2,*,0,0,0,0,2,11,20,91
